title,type,country,release_year,rating,genres,platform
Dick Johnson Is Dead,Movie,United States,2020,PG-13,['Documentaries'],Netflix
Blood & Water,TV Show,South Africa,2021,TV-MA,"['International TV Shows', 'TV Dramas', 'TV Mysteries']",Netflix
Ganglands,TV Show,,2021,TV-MA,"['Crime TV Shows', 'International TV Shows', 'TV Action & Adventure']",Netflix
Jailbirds New Orleans,TV Show,,2021,TV-MA,"['Docuseries', 'Reality TV']",Netflix
Kota Factory,TV Show,India,2021,TV-MA,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",Netflix
Midnight Mass,TV Show,,2021,TV-MA,"['TV Dramas', 'TV Horror', 'TV Mysteries']",Netflix
My Little Pony: A New Generation,Movie,,2021,PG,['Children & Family Movies'],Netflix
Sankofa,Movie,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1993,TV-MA,"['Dramas', 'Independent Movies', 'International Movies']",Netflix
The Great British Baking Show,TV Show,United Kingdom,2021,TV-14,"['British TV Shows', 'Reality TV']",Netflix
The Starling,Movie,United States,2021,PG-13,"['Comedies', 'Dramas']",Netflix
"Vendetta: Truth, Lies and The Mafia",TV Show,,2021,TV-MA,"['Crime TV Shows', 'Docuseries', 'International TV Shows']",Netflix
Bangkok Breaking,TV Show,,2021,TV-MA,"['Crime TV Shows', 'International TV Shows', 'TV Action & Adventure']",Netflix
Je Suis Karl,Movie,"Germany, Czech Republic",2021,TV-MA,"['Dramas', 'International Movies']",Netflix
Confessions of an Invisible Girl,Movie,,2021,TV-PG,"['Children & Family Movies', 'Comedies']",Netflix
Crime Stories: India Detectives,TV Show,,2021,TV-MA,"['British TV Shows', 'Crime TV Shows', 'Docuseries']",Netflix
Dear White People,TV Show,United States,2021,TV-MA,"['TV Comedies', 'TV Dramas']",Netflix
Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,,2020,TV-MA,"['Documentaries', 'International Movies']",Netflix
Falsa identidad,TV Show,Mexico,2020,TV-MA,"['Crime TV Shows', 'Spanish-Language TV Shows', 'TV Dramas']",Netflix
Intrusion,Movie,,2021,TV-14,['Thrillers'],Netflix
