title,type,country,release_year,rating,genres,platform
The Grand Seduction,Movie,Canada,2014,,"['Comedy', 'Drama']",Amazon Prime
Take Care Good Night,Movie,India,2018,13,"['Drama', 'International']",Amazon Prime
Secrets of Deception,Movie,United States,2017,,"['Action', 'Drama', 'Suspense']",Amazon Prime
Pink: Staying True,Movie,United States,2014,,['Documentary'],Amazon Prime
Monster Maker,Movie,United Kingdom,1989,,"['Drama', 'Fantasy']",Amazon Prime
Living With Dinosaurs,Movie,United Kingdom,1989,,"['Fantasy', 'Kids']",Amazon Prime
Hired Gun,Movie,United States,2017,,"['Documentary', 'Special Interest']",Amazon Prime
Grease Live!,Movie,United States,2016,,['Comedy'],Amazon Prime
Global Meltdown,Movie,Canada,2017,,"['Action', 'Science Fiction', 'Suspense']",Amazon Prime
David's Mother,Movie,United States,1994,,['Drama'],Amazon Prime
Forest Fairies,Movie,Canada,2016,,"['Adventure', 'Kids']",Amazon Prime
Take Care,Movie,United States,2014,,['Comedy'],Amazon Prime
The Night Eats The World,Movie,France,2018,,"['Horror', 'Suspense']",Amazon Prime
Resilencia,Movie,Spain,2020,,"['Documentary', 'Sports']",Amazon Prime
Elon Musk: The Real Life Iron Man,Movie,United Kingdom,2018,,['Documentary'],Amazon Prime
Summer '03,Movie,United States,2019,,"['Comedy', 'Drama']",Amazon Prime
Zoombies,Movie,,2016,13,"['Horror', 'Science Fiction']",Amazon Prime
Zoo Babies,TV Show,,2008,ALL,"['Kids', 'Special Interest']",Amazon Prime
Zoë Coombs Marr: Bossy Bottom,TV Show,,2020,18,"['Comedy', 'Talk Show and Variety']",Amazon Prime
Zoe,Movie,,2018,R,['Science Fiction'],Amazon Prime
Zoboomafoo,TV Show,,2001,TV-Y,['Kids'],Amazon Prime
Zo Zo Zombie: Mini-Series,TV Show,,2020,TV-Y7,"['Action', 'Anime', 'Comedy']",Amazon Prime
Zis Boom Bah,Movie,,1941,NR,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Drama']",Amazon Prime
ZeroZeroZero,TV Show,Italy,2020,18,['TV Shows'],Amazon Prime
Zandalee,Movie,,1991,R,['Drama'],Amazon Prime
Zambezi: Force of Life,Movie,,2005,ALL,['Documentary'],Amazon Prime
Zahara: The Return,TV Show,,2020,16,['TV Shows'],Amazon Prime
Z: The Beginning of Everything,TV Show,United States,2017,18,"['Comedy', 'Drama']",Amazon Prime
Yu-Gi-Oh! Zexal,TV Show,,2015,TV-Y7,"['Animation', 'Anime', 'Fantasy']",Amazon Prime
Yu-Gi-Oh! ARC-V,TV Show,,2018,TV-Y7,"['Action', 'Adventure', 'Animation']",Amazon Prime
Yu-Gi-Oh! 5D's,TV Show,,2011,TV-Y7,"['Anime', 'Kids']",Amazon Prime
Your Bleeped Up Brain,TV Show,,2013,TV-PG,['TV Shows'],Amazon Prime
Young Lovers,Movie,,1949,18,['Drama'],Amazon Prime
Young Love (at the Sun Factory),Movie,,2007,NR,['Music Videos and Concerts'],Amazon Prime
